,Variacions
390,7.739999999999981
391,5.500000000000142
392,5.219999999999999
393,5.010000000000019
394,3.940000000000083
395,3.940000000000026
396,3.62000000000009
397,11.780000000000058
398,10.039999999999992
399,12.420000000000044
400,9.220000000000056
401,6.489999999999981
402,5.449999999999989
403,6.3599999999999
404,6.389999999999901
405,8.649999999999949
406,13.769999999999925
407,9.729999999999876
408,9.819999999999965
409,9.309999999999917
410,8.589999999999918
411,9.159999999999911
412,11.379999999999939
413,10.699999999999875
414,10.239999999999952
415,9.999999999999915
416,10.229999999999933
417,10.729999999999933
418,11.909999999999911
419,12.109999999999928
420,11.599999999999909
421,10.469999999999914
422,9.020000000000039
423,12.010000000000048
424,10.539999999999964
425,10.490000000000038
426,10.739999999999924
427,10.350000000000023
428,10.01000000000002
429,11.70999999999998
430,11.450000000000017
431,14.329999999999984
432,16.200000000000017
433,17.819999999999993
434,28.960000000000008
435,20.299999999999898
436,25.19999999999996
437,49.539999999999935
438,49.65999999999991
439,111.41999999999987
440,65.65999999999985
441,48.1099999999999
442,36.17999999999995
443,22.760000000000048
444,16.860000000000014
445,15.420000000000016
446,23.789999999999964
447,13.180000000000007
448,11.829999999999984
449,8.939999999999998
450,8.240000000000009
451,14.920000000000073
452,12.309999999999945
453,11.100000000000023
454,15.28000000000003
455,12.719999999999914
456,11.899999999999864
457,10.559999999999889
458,10.239999999999839
459,11.54999999999984
460,11.07999999999987
461,34.71999999999986
462,76.37
463,21.589999999999975
464,19.110000000000014
465,17.410000000000025
466,16.539999999999964
467,16.459999999999923
468,16.3900000000001
469,37.30000000000001
470,50.06000000000006
471,26.589999999999918
472,24.759999999999877
473,25.21000000000015
474,22.159999999999968
475,55.09000000000003
476,25.129999999999995
477,18.799999999999955
478,17.799999999999955
479,18.57000000000005
480,17.539999999999964
481,18.090000000000032
482,17.1400000000001
483,25.32000000000005
484,26.78999999999985
485,24.620000000000005
486,17.31000000000006
487,25.92999999999995
488,16.610000000000127
489,14.599999999999909
490,14.159999999999968
491,14.730000000000018
492,13.0
493,11.769999999999982
494,13.850000000000023
495,9.879999999999995
496,11.970000000000027
497,20.850000000000023
498,7.67999999999995
499,4.0
500,2.7999999999999545
501,6.060000000000059
502,8.8900000000001
503,6.6099999999999
504,5.610000000000014
505,7.699999999999932
506,6.6200000000000045
507,13.659999999999968
508,10.700000000000102
509,10.639999999999873
510,8.380000000000166
511,8.8599999999999
512,21.29000000000002
513,14.139999999999986
514,13.129999999999995
515,12.829999999999984
516,12.180000000000007
517,11.169999999999959
518,11.430000000000064
519,11.35000000000008
520,10.909999999999911
521,28.56000000000006
522,22.870000000000005
523,19.329999999999927
524,20.58000000000004
525,19.619999999999948
526,15.890000000000043
527,15.56000000000006
528,19.169999999999845
529,23.570000000000164
530,23.329999999999927
531,25.139999999999986
532,25.649999999999977
533,31.410000000000025
534,30.840000000000032
535,23.75
536,21.0
537,20.949999999999932
538,18.70000000000016
539,20.589999999999918
540,64.81999999999994
541,39.81000000000006
542,21.329999999999927
543,19.620000000000005
544,17.780000000000086
545,17.449999999999932
546,17.730000000000132
547,9.779999999999859
548,13.980000000000018
549,8.919999999999959
550,11.410000000000082
551,12.899999999999977
552,8.040000000000077
553,9.889999999999873
554,17.200000000000045
555,16.059999999999945
556,10.56000000000006
557,6.689999999999941
558,8.879999999999995
559,16.250000000000227
560,15.419999999999845
561,14.299999999999955
562,16.710000000000036
563,87.22000000000003
564,17.200000000000045
565,17.58000000000004
566,12.53999999999985
567,12.379999999999995
568,10.910000000000082
569,9.399999999999977
570,10.909999999999854
571,13.020000000000095
572,10.480000000000018
573,18.20999999999981
574,15.150000000000205
575,13.830000000000041
576,13.079999999999927
577,12.289999999999964
578,12.920000000000073
579,15.539999999999964
580,16.920000000000073
581,14.959999999999923
582,13.700000000000045
583,13.629999999999995
584,27.629999999999995
585,99.84000000000003
586,21.049999999999955
587,18.370000000000005
588,14.379999999999995
589,11.559999999999945
590,8.850000000000023
591,20.24000000000001
592,17.99000000000001
593,29.970000000000027
594,17.120000000000005
595,11.970000000000141
596,15.759999999999877
597,30.529999999999973
598,13.789999999999964
599,9.870000000000005
600,5.4500000000000455
601,6.789999999999964
602,8.61999999999989
603,8.080000000000155
604,26.559999999999945
605,12.230000000000018
606,3.6900000000000546
607,8.669999999999959
608,6.960000000000036
609,8.019999999999982
610,9.029999999999973
611,7.619999999999891
612,10.430000000000064
613,8.88000000000011
614,8.419999999999959
615,8.169999999999959
616,8.149999999999977
617,14.379999999999995
618,56.330000000000155
619,44.219999999999914
620,44.98000000000002
621,50.51999999999998
622,10.419999999999959
623,15.06000000000006
624,15.199999999999932
625,11.75
626,10.82000000000005
627,10.769999999999982
628,11.0
629,12.740000000000123
630,13.579999999999927
631,12.399999999999977
632,10.779999999999973
633,11.129999999999995
634,11.38000000000011
635,12.18999999999994
636,11.709999999999923
637,10.440000000000055
638,23.659999999999968
639,17.779999999999973
640,24.610000000000014
641,22.110000000000127
